Dấu thời gian,What's your major ? ,How frequently do you use AI tools for academic purposes?,Which AI tools do you use most frequently? ,What are the primary purposes for which you use AI tools ? ,How satisfied are you with the performance of AI tools in general ?,Have you encountered any significant challenges while using AI tools ?,"If yes, please specify the challenges that you faced ",To what extent have AI tools helped you improve your academic performance?,Do you feel that AI tools have enhanced your understanding of complex topics?,Do you find AI tools' outputs to be accurate and reliable ?,How do you integrate AI tools into your study routine? ,How confident are you in using AI tools for important academic tasks?,Do you think ChatGPT provides enough context in its responses ? ,"In your opinion, how well does ChatGPT understand and respond to complex topics ? ",Would you recommend the use of AI tools to your peers ?,Have you ever used AI tools in a way that might be considered academically dishonest? ,How do you ensure that your use of AI tools remains ethical and honest? ,Do you think AI tools encourage or discourage academic honesty?,Have you received guidance from your institution on the ethical use of AI tools?,"In your opinion, what measures can be taken to promote ethical use of AI tools among students ? ",Have you ever used ChatGPT to generate content that you submitted as your own work ? ,Do you think using ChatGPT for assignments constitutes plagiarism ?,Have you experienced any consequences (positive or negative) from using ChatGPT in your academic work ? ,"If yes, please describe the consequences you experienced."
6/12/2024 16:03:52,CSE,A few times a month,"ChatGPT, Bing Ai","Research assistance, Writing and editing, Learning new topics, Coding and debugging, Entertaining",Neutral,,,Somewhat improved,Agree,Quite reliable,Occasionally for quick assistance,4,Yes,3,Probably,No,Carefully reading what the AI say.,Neutral,No,,Maybe,It depends on how I use it.,No,
6/12/2024 16:05:21,BFA,A few times a month,"ChatGPT, Google Assistant",Research assistance,Satisfied,No,,Somewhat improved,Strongly Agree,Quite reliable,Occasionally for quick assistance,1,No,4,Probably,No,"The lecturer can easily figures out if I use AI to generate my academic work. Therefore, I cannot risk to use it for academically dishonest purpose",Discourage,No,,Maybe,Yes,No,
6/12/2024 16:08:19,CSE,A few times a month,"ChatGPT, Quillbot","Research assistance, Writing and editing, Learning new topics, Paraphrase",Satisfied,Yes,Everything need to be proof-readed,Somewhat improved,Strongly Disagree,Neutral,As a supplementary tool,4,No,1,Probably,No,"Anything academic-related can often be found factually wrong, lack of context or require lots of time to fix, making it not worth it",Neutral,No,"For now, only fact and plagiarism checking",No,Depends on different response,No,
6/12/2024 16:12:14,CSE,Daily,"ChatGPT, Google Assistant, Microsoft Azure AI","Writing and editing, Coding and debugging",Neutral,No,,Somewhat improved,Strongly Agree,Neutral,As a supplementary tool,4,Yes,2,Definitely,No,Consider AI tool as recommended path to improve the understanding to develop a solution by yourself ,Neutral,No,AI workshop for better understanding ,Yes,No,Yes,Faster works done trade back for worse academic performance than usual 
6/12/2024 16:52:40,BBA,Several times a week,ChatGPT,Research assistance,Neutral,Yes,"misinformation, repetitive results for different prompts",No impact,Neutral,Rarely,Occasionally for quick assistance,3,No,3,Probably,No,"Well, don't just copy paste a passage without fact-checking, or without checking for sources if you're writing an essay or your thesis. Follow the instructions for academic writing and only use AI for research and checking (for example, passage coherency or grammar error), not for it to do the job for you ",Neutral,No,,No,Doesn't have enough information to answer this question,No,
6/12/2024 17:17:50,CSE,Daily,"ChatGPT, Anthropic's Claude","Research assistance, Writing and editing, Learning new topics, Coding and debugging",Neutral,Yes,Hallucinations ,Somewhat improved,Agree,Neutral,As a supplementary tool,3,Yes,4,Probably,No,"I don't ask the AI to rewrite someone else's works to put in mine (basically plagiarizes them), and keep them to brain storming and restructuring my own paragraph. Also (haven't try it) transparently acknowledge the use and scope of any AI involvement in my work could probably help.",Neutral,No,"It depends on what each person define as ""ethical"": does the fact that openAI trained their models on copyrighted articles, images and videos[newyorktimes] (potentially without consents of the content owner) considered unethical? But in general, maybe embrace and regulate them? idk, I got nothing. we are doomed.",Yes,"No, as long as it just rewrites your existing scripts into something more academically appropriate.",No,
6/12/2024 17:57:59,ARC,Several times a week,Poe,"Research assistance, Writing and editing, Guiding, and ideas",Satisfied,Yes,The answers are sometimes not so accurate. The answers can be changed depending on what I respond to the assistant.,Somewhat improved,Agree,Neutral,As a supplementary tool,4,Yes,3,Probably,No,"Base on the fact that I only ask for guidance, outlines of reports, or I seek ideas/design strategies for my study.",Neutral,No,I have no idea but seriously I can even detect Ai written.,No,No,Yes,"Even though the assistant is not so persistent with the answers, I manage to learn new things from debating the ideas given from AI tools"
6/12/2024 18:23:03,CSE,Several times a week,Bing Copilot,"Learning new topics, Coding and debugging",Neutral,No,,Somewhat improved,Neutral,Neutral,As a supplementary tool,3,No,3,Probably,Yes,Use AI to understand topics rather than as a quick assist in schoolwork,Neutral,No,,No,Possible,No,
6/12/2024 18:35:29,BBA,Daily,"ChatGPT, Grammarly","Research assistance, Writing and editing, Coding and debugging",Very satisfied,Yes,AI is still in a grey zone therefore using it may deemed to be immoral.,Significantly improved,Strongly Agree,Quite reliable,As a supplementary tool,4,Yes,4,Not sure,No,"I ensure my ethical and honest conduct by not relying on AI as the primary tool in my projects. For instance, when I am working on a research paper, I avoid using AI to generate ideas, as it could potentially lead to plagiarism by using someone else's work.",Discourage,Yes,Compulsory seminars or classes are a good way to broaden one's horizon about AI and its ethical issues.,No,Yes,No,
6/12/2024 19:05:35,ECE (EEIT),Daily,ChatGPT,"Research assistance, Writing and editing, Learning new topics, Coding and debugging",Satisfied,No,,Somewhat improved,Agree,Quite reliable,As a supplementary tool,4,Yes,4,Probably,No,myself,Neutral,No,,No,No,No,
